feature_ID	gene_name	FC_Syn_vs_H_at_ZT0	FC_Syn_vs_H_at_ZT12	synaptic_enriched_3104	in_Cajigas_et_al 	in_Ouwenga_et_al 
ENSMUSG00000030111	A2m	1.662032	1.785988	+	+	+
ENSMUSG00000036678	Aaas	NaN	NaN		+	+
ENSMUSG00000029482	Aacs	NaN	NaN		+	+
ENSMUSG00000037257	Aagab	NaN	NaN		+	+
ENSMUSG00000057230	Aak1	NaN	NaN		+	+
ENSMUSG00000006299	Aamp	NaN	NaN		+	+
ENSMUSG00000068522	Aard	NaN	NaN		+	+
ENSMUSG00000031960	Aars	1.695789	1.88898	+	+	+
ENSMUSG00000023938	Aars2	NaN	NaN		+	+
ENSMUSG00000075528	Aarsd1	NaN	NaN		+	
ENSMUSG00000055923	Aasdh	NaN	NaN		+	+
ENSMUSG00000025894	Aasdhppt	NaN	NaN		+	+
ENSMUSG00000029695	Aass	3.694329	3.450845	+	+	+
ENSMUSG00000018697	Aatf	NaN	NaN		+	+
ENSMUSG00000025375	Aatk	NaN	NaN		+	+
ENSMUSG00000057880	Abat	2.766176	2.681285	+	+	+
ENSMUSG00000015243	Abca1	2.05492	2.171807	+	+	+
ENSMUSG00000026944	Abca2	NaN	NaN		+	+
ENSMUSG00000024130	Abca3	NaN	NaN		+	+
ENSMUSG00000028125	Abca4	NaN	NaN		+	+
ENSMUSG00000018800	Abca5	1.640437	1.664176	+	+	+
ENSMUSG00000044749	Abca6	NaN	NaN		+	+
ENSMUSG00000035722	Abca7	NaN	NaN		+	+
ENSMUSG00000041828	Abca8a	NaN	NaN		+	+
ENSMUSG00000041797	Abca9	1.163474	3.118922	+	+	+
ENSMUSG00000031974	Abcb10	NaN	NaN		+	+
ENSMUSG00000040584	Abcb1a	NaN	NaN		+	+
ENSMUSG00000028970	Abcb1b	1.673459	1.516043	+	+	+
ENSMUSG00000042476	Abcb4	NaN	NaN		+	+
ENSMUSG00000026198	Abcb6	NaN	NaN		+	+
ENSMUSG00000031333	Abcb7	2.291426	2.344194	+	+	+
ENSMUSG00000028973	Abcb8	NaN	NaN		+	+
ENSMUSG00000029408	Abcb9	1.573307	1.308332	+	+	+
ENSMUSG00000023088	Abcc1	NaN	NaN		+	+
ENSMUSG00000032842	Abcc10	NaN	NaN		+	+
ENSMUSG00000020865	Abcc3	1.29266	2.205456	+	+	+
ENSMUSG00000032849	Abcc4	NaN	NaN		+	+
ENSMUSG00000022822	Abcc5	NaN	NaN		+	+
ENSMUSG00000040136	Abcc8	NaN	NaN		+	+
ENSMUSG00000030249	Abcc9	NaN	NaN		+	+
ENSMUSG00000031378	Abcd1	NaN	NaN		+	+
ENSMUSG00000055782	Abcd2	2.292116	2.239328	+	+	+
ENSMUSG00000028127	Abcd3	2.163358	2.113713	+	+	+
ENSMUSG00000021240	Abcd4	NaN	NaN		+	+
