Gene_Symbol	Protein	Refseq_identifier	FUS_cluster_Total	FUS_cluster_5UTR	FUS_cluster_introns	FUS_cluster_exons	FUS_cluster_3UTR	FUS_RNAseq_RPKM_FUS_KD	FUS_RNAseq_RPKM_control	FUS_RNAseq_Ratio_KD_control	FUS_RNAseq_Zscore	TDP_cluster_Total	TDP_cluster_5UTR	TDP_cluster_introns	TDP_cluster_exons	TDP_cluster_3UTR	TDP_RNAseq_TDP_KD	TDP_RNAseq_RPKM_control	TDP_RNAseq_Ratio_KD_control	TDP_RNAseq_Zscore
Fus	Fus protein.	BC011078	21	19	1	0	20	8.611	102.974	0.08	-18.226	8	7	0	0	8	76.515	102.974	0.74	-1.408
Kcnip4	Potassium channel interacting protein 4.	DQ148504	818	0	818	0	0	2.036	8.522	0.24	-10.561	172	0	172	0	0	3.56	8.522	0.42	-3.645
Smyd3	SET and MYND domain containing 3	AK087728	219	0	218	0	1	1.692	5.718	0.30	-7.237	53	0	53	0	0	3.05	5.718	0.53	-2.511
Zfp533	Mus musculus 10 days neonate medulla oblongata cDNA, RIKEN full-length enriched library, clone:B830010L13 product:hypothetical U1-like zinc finger/Zinc finger, C2H2 type containing protein, full insert sequence.	BC048543	276	1	275	0	0	4.058	9.923	0.41	-7.162	56	0	56	0	0	7.45	9.923	0.75	-1.531
AK079777	Mus musculus 0 day neonate thymus cDNA, RIKEN full-length enriched library, clone:A430065E24 product:unclassifiable, full insert sequence.	AK079777	2	0	0	2	0	0.526	2.613	0.20	-7.108	2	0	0	2	0	1.55	2.613	0.59	-1.857
Nipa1	non-imprinted in Prader-Willi/Angelman syndrome	NM_153578	12	0	7	1	4	8.299	18.003	0.46	-7.1	4	0	4	0	0	14.483	18.003	0.80	-1.178
Csmd1	Mus musculus adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230054E13 product:CUB and Sushi multiple domains 1, full insert sequence.	AK048698	1056	5	1051	0	3	3.884	9.36	0.41	-7.013	262	0	261	0	1	2.92	9.36	0.31	-4.826
Prlr	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630063N04 product:prolactin receptor, full insert sequence.	AK054381	0	0	0	0	0	0.056	0.787	0.07	-6.53	0	0	0	0	0	0.293	0.787	0.37	-2.272
Tcba1	T-cell lymphoma breakpoint associated target 1	NM_001013411	382	1	381	0	0	7.049	14.143	0.50	-6.132	104	0	103	1	0	2.478	14.143	0.18	-8.086
AK013627	Mus musculus adult male hippocampus cDNA, RIKEN full-length enriched library, clone:2900040C04 product:unclassifiable, full insert sequence.	AK013627	0	0	0	0	0	0.193	1.394	0.14	-5.851	0	0	0	0	0	0.483	1.394	0.35	-2.637
AK020190	Mus musculus adult male corpus striatum cDNA, RIKEN full-length enriched library, clone:7630403G23 product:unclassifiable, full insert sequence.	AK020190	0	0	0	0	0	0.065	0.642	0.10	-5.63	0	0	0	0	0	0.029	0.642	0.05	-6.21
Frmd5	FERM domain-containing protein 5.	AK030883	137	0	137	0	0	6.362	11.813	0.54	-5.45	60	0	60	0	0	8.308	11.813	0.70	-1.722
Atxn1	ataxin 1	NM_009124	149	0	148	0	1	12.701	22.083	0.58	-5.435	103	0	103	0	0	17.465	22.083	0.79	-1.198
AK044106	Mus musculus 10 days neonate cortex cDNA, RIKEN full-length enriched library, clone:A830090N19 product:unclassifiable, full insert sequence.	AK044106	0	0	0	0	0	1.677	4.303	0.39	-5.388	0	0	0	0	0	2.783	4.303	0.65	-1.788
Susd4	sushi domain containing 4	NM_144796	48	1	46	1	0	8.285	14.77	0.56	-5.1	23	0	23	0	0	12.523	14.77	0.85	-0.959
C030017K20Rik	Mus musculus adult male corpus striatum cDNA, RIKEN full-length enriched library, clone:C030017K20 product:unclassifiable, full insert sequence.	AK047723	1	0	0	1	0	0.536	2.115	0.25	-4.966	0	0	0	0	0	2.125	2.115	1.00	-0.38
BC042720	MKIAA1843 protein (Fragment).	AK173273	50	3	39	1	7	15.373	25.553	0.60	-4.942	5	0	5	0	0	14.96	25.553	0.59	-2.676
AK031234	Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110004P21 product:unclassifiable, full insert sequence.	AK031234	10	0	8	2	0	2.713	5.787	0.47	-4.936	0	0	0	0	0	4.058	5.787	0.70	-1.616
C030018G13Rik	Uncharacterized protein C2orf21 homolog.	AK043914	26	0	21	3	2	7.617	13.382	0.57	-4.934	11	0	11	0	0	6.23	13.382	0.47	-3.52
Agt	angiotensinogen	NM_007428	0	0	0	0	0	1.93	4.586	0.42	-4.925	0	0	0	0	0	5.023	4.586	1.10	0.052
AK142681	Mus musculus 10 days lactation, adult female mammary gland cDNA, RIKEN full-length enriched library, clone:D730047O05 product:MSZF33 homolog [Mus musculus], full insert sequence.	AK142681	0	0	0	0	0	7.233	12.444	0.58	-4.871	0	0	0	0	0	11.643	12.444	0.94	-0.45
AK045970	Mus musculus 0 day neonate head cDNA, RIKEN full-length enriched library, clone:4831422N07 product:similar to KRUPPEL-RELATED ZINC FINGER PROTEIN F80-L [Mus musculus], full insert sequence.	AK045970	6	0	4	0	2	20.193	35.546	0.57	-4.867	1	0	1	0	0	34.994	35.546	0.98	-0.079
Traip	TRAF-interacting protein	NM_011634	5	0	5	0	0	3.131	6.322	0.50	-4.787	1	0	1	0	0	7.937	6.322	1.26	0.668
FuK	Mus musculus mRNA for L-fucose kinase (FuK gene), shorter splice variant.	AK161763	1	0	0	0	1	1.85	4.265	0.43	-4.737	1	0	1	0	0	3.807	4.265	0.89	-0.701
BC094615	Mus musculus cDNA clone IMAGE:30134658.	BC094615	0	0	0	0	0	0.076	0.513	0.15	-4.646	0	0	0	0	0	0.265	0.513	0.52	-1.663
Mal	Adult male stomach cDNA, RIKEN full-length enriched library, clone:2200001M24 product:myelin and lymphocyte protein, T-cell differentiation protein, full insert sequence.	AK019046	7	0	0	1	6	27.604	50.313	0.55	-4.509	3	0	2	0	1	48.394	50.313	0.96	-0.191
Agxt2l1	Mus musculus adult male liver cDNA, RIKEN full-length enriched library, clone:1300019H02 product:similar to ALANINE:GLYOXYLATE AMINOTRANSFERASE 2 HOMOLOG 1, SPLICE FORM 1 [Homo sapiens], full insert sequence.	BC022644	1	0	1	0	0	1.487	3.288	0.45	-4.392	0	0	0	0	0	2.748	3.288	0.84	-0.918
BC019819	Mus musculus activated spleen cDNA, RIKEN full-length enriched library, clone:F830224N14 product:unclassifiable, full insert sequence.	BC019819	0	0	0	0	0	0.935	2.432	0.38	-4.368	0	0	0	0	0	1.622	2.432	0.67	-1.527
Gm1337	hypothetical protein LOC383787	NM_001081971	0	0	0	0	0	18.678	29.193	0.64	-4.329	0	0	0	0	0	30.039	29.193	1.03	0.138
Tnfrsf25	tumor necrosis factor receptor superfamily,	NM_033042	1	0	1	0	0	0.312	1.374	0.23	-4.315	1	0	1	0	0	0.848	1.374	0.62	-1.434
Hba-a2	hemoglobin alpha, adult chain 2	NM_001083955	0	0	0	0	0	1.037	2.55	0.41	-4.278	0	0	0	0	0	2.371	2.55	0.93	-0.544
Darc	Duffy blood group	NM_010045	2	1	0	1	0	8.75	14.187	0.62	-4.271	1	0	0	1	0	18.29	14.187	1.29	1.151
mKIAA0054	Mus musculus mRNA for mKIAA0054 protein.	BC060114	27	3	23	1	0	3.956	7.069	0.56	-4.253	31	0	29	0	2	7.74	7.069	1.09	0.144
Stac3	SH3 and cysteine rich domain 3	NM_177707	2	0	2	0	0	0.363	1.476	0.25	-4.22	0	0	0	0	0	0.945	1.476	0.64	-1.411
Hist1h1c	histone 1, H1c	NM_015786	1	0	0	1	0	6.072	9.938	0.61	-4.089	0	0	0	0	0	13.681	9.938	1.38	1.346
Clic6	chloride intracellular channel 6	NM_172469	0	0	0	0	0	2.267	4.699	0.48	-4.079	0	0	0	0	0	3.849	4.699	0.82	-0.992
AK048846	Mus musculus adult male diencephalon cDNA, RIKEN full-length enriched library, clone:9330156G04 product:unclassifiable, full insert sequence.	AK048846	7	0	0	7	0	3.429	6.179	0.55	-4.078	1	0	0	1	0	5.145	6.179	0.83	-0.965
Epb4.1	erythrocyte protein band 4.1	BC068138	93	1	57	0	35	7.956	12.576	0.63	-4.052	20	2	18	0	0	9.148	12.576	0.73	-1.572
Peli1	Mus musculus pellino 1 (Peli1) mRNA, complete cds.	AK020915	20	1	17	0	2	8.564	13.42	0.64	-3.986	4	2	2	0	0	15.201	13.42	1.13	0.483
B230206H07Rik	hypothetical protein LOC320871	NM_177280	0	0	0	0	0	1.348	2.875	0.47	-3.972	0	0	0	0	0	2.41	2.875	0.84	-0.843
Mcam	Cell surface glycoprotein MUC18 precursor (Melanoma-associated antigen MUC18) (Melanoma cell adhesion molecule) (Gicerin).	AB035509	0	0	0	0	0	1.986	4.007	0.50	-3.945	0	0	0	0	0	8.295	4.007	2.07	2.558
Pip5k1b	phosphatidylinositol-4-phosphate 5-kinase, type	NM_008846	32	0	32	0	0	0.795	2.085	0.38	-3.917	22	0	22	0	0	1.634	2.085	0.78	-1.061
Dnajc1	Mus musculus 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2700069B04 product:DnaJ (Hsp40) homolog, subfamily C, member 1, full insert sequence.	BC052544	42	3	37	0	4	1.384	2.902	0.48	-3.895	7	0	7	0	0	3.389	2.902	1.17	0.175
Npr2	natriuretic peptide receptor 2	BC049896	2	0	2	0	0	4.474	7.506	0.60	-3.889	1	0	1	0	0	8.408	7.506	1.12	0.25
Col8a2	procollagen, type VIII, alpha 2	NM_199473	0	0	0	0	0	0.383	1.402	0.27	-3.876	0	0	0	0	0	0.568	1.402	0.41	-2.311
BC031853	amino acid transporter	NM_172758	0	0	0	0	0	4.902	8.07	0.61	-3.843	1	0	1	0	0	9.561	8.07	1.18	0.536
Park2	parkin	NM_016694	160	0	160	0	0	0.633	1.909	0.33	-3.759	66	0	66	0	0	0.485	1.909	0.25	-3.479
Grin2b	glutamate receptor, ionotropic, NMDA2B (epsilon	NM_008171	247	0	242	2	3	19.645	28.924	0.68	-3.746	125	0	118	0	7	23.478	28.924	0.81	-1.017
Nrxn3	neurexin III	BC060719	1138	4	1130	0	7	20.695	30.662	0.67	-3.737	339	0	339	0	0	15.939	30.662	0.52	-3.31
Selplg	selectin, platelet (p-selectin) ligand	NM_009151	1	0	1	0	0	6.336	9.859	0.64	-3.73	1	0	1	0	0	10.911	9.859	1.11	0.283
1500015O10Rik	esophageal cancer related gene 4 protein	NM_024283	0	0	0	0	0	0.514	1.66	0.31	-3.684	0	0	0	0	0	1.181	1.66	0.71	-1.275
Plekhn1	Mus musculus 16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130033N06 product:inferred: hypothetical protein {Homo sapiens}, full insert sequence.	BC046544	0	0	0	0	0	3.32	5.777	0.57	-3.665	0	0	0	0	0	6.285	5.777	1.09	0.061
Gpsm1	G-protein signalling modulator 1 (AGS3-like, C.	BC071197	18	2	14	1	1	4.423	7.187	0.62	-3.633	2	0	2	0	0	7.155	7.187	1.00	-0.273
Kcna4	potassium voltage-gated channel, shaker-related	NM_021275	4	0	0	1	3	12.254	17.755	0.69	-3.586	7	0	3	1	3	12.716	17.755	0.72	-1.757
Lrp1b	Mus musculus low density lipoprotein receptor related protein LRP1B/LRP-DIT mRNA, complete cds.	AK035795	819	23	796	0	10	2.861	5.09	0.56	-3.556	142	1	141	0	0	2.015	5.09	0.40	-3.449
Nrxn1	neurexin I	BC047146	839	9	808	0	29	29.006	46.335	0.63	-3.535	253	1	247	0	6	32.019	46.335	0.69	-1.749
Efhd1	EF hand domain containing 1	NM_028889	0	0	0	0	0	6.752	10.048	0.67	-3.484	0	0	0	0	0	9.087	10.048	0.90	-0.604
AK145079	Mus musculus mammary gland RCB-0526 Jyg-MC(A) cDNA, RIKEN full-length enriched library, clone:G830038D20 product:unclassifiable, full insert sequence.	AK145079	0	0	0	0	0	2.572	4.745	0.54	-3.473	0	0	0	0	0	4.726	4.745	1.00	-0.303
9330155M09Rik	hypothetical protein LOC320756	NM_177254	1	0	0	0	1	1.131	2.381	0.48	-3.473	1	0	0	0	1	2.833	2.381	1.19	0.189
Baiap3	Mus musculus BAI1-associated protein 3, mRNA (cDNA clone IMAGE:4220403), partial cds.	AK122358	0	0	0	0	0	1.424	2.776	0.51	-3.459	0	0	0	0	0	3.281	2.776	1.18	0.188
Efcbp2	neuronal calcium-binding protein 2	NM_054095	0	0	0	0	0	12.969	18.462	0.70	-3.428	0	0	0	0	0	18.603	18.462	1.01	-0.011
Trpm3	transient receptor potential cation channel,	NM_001035241	372	2	365	0	6	5.726	8.767	0.65	-3.397	78	0	77	0	1	6.495	8.767	0.74	-1.627
Frmpd4	FERM and PDZ domain containing 4	NM_001033330	220	0	220	0	0	9.907	14.524	0.68	-3.374	95	0	95	0	0	8.87	14.524	0.61	-2.386
Acta2	actin, alpha 2, smooth muscle, aorta	NM_007392	0	0	0	0	0	1.021	2.208	0.46	-3.371	0	0	0	0	0	2.073	2.208	0.94	-0.557
mKIAA1568	Mus musculus 12 days embryo embryonic body between diaphragm region and neck cDNA, RIKEN full-length enriched library, clone:9430089E08 product:ROUNDABOUT2 PROTEIN (FRAGMENT) homolog [Gallus gallus], full insert sequence.	BC055333	159	6	150	0	8	11.417	16.27	0.70	-3.363	58	0	58	0	0	11.17	16.27	0.69	-2.018
Wdr78	WD repeat domain 78	NM_146254	2	0	1	0	1	1.534	2.873	0.53	-3.284	4	0	4	0	0	3.917	2.873	1.36	0.699
Tmem28	Tmem28 protein.	BC117535	536	0	535	0	1	7.259	10.463	0.69	-3.262	148	0	148	0	0	5.204	10.463	0.50	-3.309
Klf16	Kruppel-like factor 16	NM_078477	1	0	0	0	1	14.416	20.04	0.72	-3.246	0	0	0	0	0	14.02	20.04	0.70	-1.851
Otx2	orthodenticle homolog 2	BC017609	0	0	0	0	0	0.167	0.658	0.25	-3.228	0	0	0	0	0	0.453	0.658	0.69	-1.121
Alg14	asparagine-linked glycosylation 14 homolog	NM_024178	0	0	0	0	0	1.646	3.006	0.55	-3.22	1	0	1	0	0	4.173	3.006	1.39	0.789
AK078363	Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230303A05 product:similar to U1 SMALL NUCLEAR RIBONUCLEOPROTEIN C (U1-C) [Mus musculus], full insert sequence.	AK078363	32	0	32	0	0	2.806	4.913	0.57	-3.22	13	0	12	1	0	4.824	4.913	0.98	-0.354
Krt18	keratin 18	NM_010664	0	0	0	0	0	0.152	0.594	0.26	-3.205	0	0	0	0	0	0.262	0.594	0.44	-1.958
Pbx1	pre B-cell leukemia transcription factor 1	L27453	276	0	265	1	10	27.2	41.31	0.66	-3.178	104	0	94	0	10	35.493	41.31	0.86	-0.722
Hap1	huntingtin-associated protein 1	NM_010404	5	0	0	1	4	24.572	35.263	0.70	-3.161	0	0	0	0	0	37.824	35.263	1.07	0.307
Gpr101	G protein-coupled receptor 101	NM_001033360	0	0	0	0	0	0.645	1.715	0.38	-3.157	0	0	0	0	0	2.845	1.715	1.66	1.057
Lhfpl3	lipoma HMGIC fusion partner-like 3	NM_001081231	105	0	105	0	0	5.51	8.237	0.67	-3.133	37	0	37	0	0	9.31	8.237	1.13	0.34
Slc24a4	Sodium/potassium/calcium exchanger 4 precursor (Na(+)/K(+)/Ca(2+)-exchange protein 4)	AK044239	13	0	12	0	1	9.287	13.328	0.70	-3.131	11	0	11	0	0	9.608	13.328	0.72	-1.632
Ksr2	Kinase suppressor of Ras 2	DQ531035	19	0	19	0	0	6.763	9.787	0.69	-3.103	23	0	23	0	0	6.702	9.787	0.68	-1.917
Unc13c	unc13 homolog 3	NM_001081153	23	0	22	1	0	17.377	23.971	0.72	-3.102	35	0	35	0	0	19.065	23.971	0.80	-1.176
Cacna1h	calcium channel alpha13.2 subunit	NM_021415	2	0	2	0	0	11.716	16.207	0.72	-3.101	0	0	0	0	0	14.097	16.207	0.87	-0.82
Prelp	proline arginine-rich end leucine-rich repeat	NM_054077	0	0	0	0	0	4.899	7.48	0.65	-3.101	0	0	0	0	0	10.641	7.48	1.42	1.351
Cd74	CD74 antigen isoform 1	NM_001042605	0	0	0	0	0	1.798	3.168	0.57	-3.089	0	0	0	0	0	7.157	3.168	2.26	2.872
Dlgap1	discs large homolog-associated protein 1 isoform	AK031410	318	9	306	0	10	22.528	32.303	0.70	-3.084	144	0	144	0	0	21.056	32.303	0.65	-2.082
Kcns2	K+ voltage-gated channel, subfamily S, 2	NM_181317	0	0	0	0	0	6.07	8.923	0.68	-3.075	0	0	0	0	0	5.641	8.923	0.63	-2.24
BC033915	hypothetical protein LOC70661	NM_027498	91	0	91	0	0	17.828	24.58	0.73	-3.072	50	0	50	0	0	29.863	24.58	1.21	0.935
Lcn2	lipocalin 2	NM_008491	0	0	0	0	0	0.27	0.999	0.27	-3.065	0	0	0	0	0	3.747	0.999	3.75	3.455
Zmym3	Zmym3 protein.	AK082075	5	0	3	0	2	22.395	31.109	0.72	-3.065	1	0	0	0	1	29.733	31.109	0.96	-0.209
Inha	inhibin alpha	NM_010564	6	1	4	1	0	7.095	10.077	0.70	-3.058	0	0	0	0	0	8.621	10.077	0.86	-0.869
Scube3	signal peptide, CUB domain, EGF-like 3	NM_001004366	0	0	0	0	0	2.107	3.677	0.57	-3.042	0	0	0	0	0	2.965	3.677	0.81	-1.017
Ass1	argininosuccinate synthetase	NR_002687	0	0	0	0	0	6.856	9.73	0.70	-3.013	0	0	0	0	0	11.301	9.73	1.16	0.515
